path,change_class,matches_upstream_blob,matches_fork_blob,resolution
backend/internal/repository/welfare_performance_integration_test.go,fork-only,no,yes,retained fork
backend/internal/repository/welfare_repo.go,fork-only,no,yes,retained fork
backend/internal/repository/welfare_repo_integration_test.go,fork-only,no,yes,retained fork
backend/internal/repository/welfare_spend_repo.go,fork-only,no,yes,retained fork
backend/internal/repository/welfare_spend_repo_integration_test.go,fork-only,no,yes,retained fork
backend/internal/repository/wire.go,overlap,no,no,adapted custom integration
backend/internal/server/api_contract_test.go,overlap,no,no,adapted custom integration
backend/internal/server/middleware/api_key_auth.go,fork-only,no,no,adapted custom integration
backend/internal/server/middleware/api_key_auth_admission_group_guard_test.go,integration-only,no,no,adapted custom integration
backend/internal/server/middleware/api_key_auth_google.go,fork-only,no,no,adapted custom integration
backend/internal/server/middleware/api_key_auth_google_test.go,fork-only,no,yes,retained fork
backend/internal/server/middleware/api_key_auth_subscription_admission_test.go,fork-only,no,yes,retained fork
backend/internal/server/middleware/api_key_auth_test.go,fork-only,no,yes,retained fork
backend/internal/server/middleware/cors.go,fork-only,no,yes,retained fork
backend/internal/server/middleware/cors_test.go,fork-only,no,yes,retained fork
backend/internal/server/middleware/subscription_admission_review3_test.go,fork-only,no,yes,retained fork
backend/internal/server/middleware/subscription_admission_test_helpers_test.go,fork-only,no,yes,retained fork
backend/internal/server/middleware/welfare_auth_balance_test.go,fork-only,no,yes,retained fork
backend/internal/server/routes/admin.go,overlap,no,no,adapted custom integration
backend/internal/server/routes/composite_images_compatible_test.go,upstream-only,yes,no,exact upstream
backend/internal/server/routes/user.go,fork-only,no,yes,retained fork
backend/internal/service/account.go,upstream-only,yes,no,exact upstream
backend/internal/service/account_stats_pricing.go,upstream-only,yes,no,exact upstream
backend/internal/service/account_stats_pricing_test.go,upstream-only,yes,no,exact upstream
backend/internal/service/account_test_models_test.go,upstream-only,yes,no,exact upstream
backend/internal/service/account_test_service.go,upstream-only,yes,no,exact upstream
backend/internal/service/account_test_service_cn_adaptive.go,upstream-only,yes,no,exact upstream
backend/internal/service/account_usage_service.go,upstream-only,yes,no,exact upstream
backend/internal/service/account_usage_service_batch_test.go,upstream-only,yes,no,exact upstream
backend/internal/service/account_usage_service_spark_shadow_test.go,upstream-only,yes,no,exact upstream
backend/internal/service/admin_account.go,upstream-only,yes,no,exact upstream
backend/internal/service/admin_account_upstream_billing_probe_test.go,upstream-only,yes,no,exact upstream
backend/internal/service/admin_group.go,fork-only,no,yes,retained fork
backend/internal/service/admin_group_duplicate.go,fork-only,no,yes,retained fork
backend/internal/service/admin_service.go,fork-only,no,yes,retained fork
backend/internal/service/affiliate_service.go,upstream-only,yes,no,exact upstream
backend/internal/service/affiliate_service_test.go,upstream-only,yes,no,exact upstream
backend/internal/service/antigravity_gateway_claude.go,upstream-only,yes,no,exact upstream
backend/internal/service/antigravity_gateway_compat.go,upstream-only,yes,no,exact upstream
backend/internal/service/antigravity_gateway_gemini.go,upstream-only,yes,no,exact upstream
backend/internal/service/antigravity_gateway_service.go,upstream-only,yes,no,exact upstream
backend/internal/service/antigravity_gemini_thinking_variant.go,upstream-only,yes,no,exact upstream
backend/internal/service/antigravity_gemini_thinking_variant_test.go,upstream-only,yes,no,exact upstream
backend/internal/service/api_key_auth_cache_impl.go,fork-only,no,yes,retained fork
backend/internal/service/backup_recovery_test.go,upstream-only,yes,no,exact upstream
backend/internal/service/backup_restore_state.go,upstream-only,yes,no,exact upstream
backend/internal/service/backup_retention.go,upstream-only,yes,no,exact upstream
backend/internal/service/backup_retention_test.go,upstream-only,yes,no,exact upstream
backend/internal/service/backup_service.go,upstream-only,yes,no,exact upstream
backend/internal/service/backup_service_test.go,upstream-only,yes,no,exact upstream
backend/internal/service/billing_cache_cancellation_test.go,fork-only,no,yes,retained fork
backend/internal/service/billing_cache_port.go,fork-only,no,yes,retained fork
backend/internal/service/billing_cache_service.go,overlap,no,no,adapted custom integration
backend/internal/service/billing_cache_service_simple_mode_test.go,upstream-only,yes,no,exact upstream
backend/internal/service/billing_cache_subscription_admission_test.go,fork-only,no,yes,retained fork
backend/internal/service/billing_service.go,upstream-only,yes,no,exact upstream
backend/internal/service/billing_service_test.go,upstream-only,yes,no,exact upstream
backend/internal/service/billing_token_cost_request_test.go,upstream-only,yes,no,exact upstream
backend/internal/service/channel.go,upstream-only,yes,no,exact upstream
